trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
124,0.5,4,196.5295777,197.0301016,197.0301016,197.0301016,197.3306034,left,-4,1,1,1.0349474,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
125,0.5,4,198.0968015,198.5966514,198.5966514,198.5966514,198.8954798,right,4,1,1,0.8943188,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
126,0.5,4,199.5115634,199.9970834,199.9970834,200.013097,200.2964126,right,4,0,0,0.9436051,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
127,0.5,4.5,200.9621423,201.4452051,201.4452051,201.4625617,201.7470696,right,4.5,0,0,0.7986292,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
128,0.5,5,202.263024,202.7629244,202.7629244,202.7629244,203.0634045,left,-5,0,0,1.2696519,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
129,0.5,5.5,204.0618429,204.5477829,204.5477829,204.5626482,204.8625938,left,-5.5,0,0,0.6722897,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
130,0.5,6,205.2461863,205.7464244,205.7464244,205.7464244,206.0464105,right,6,0,0,0.8371361,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
131,0.5,6.5,206.6126334,207.1133279,207.1133279,207.1133279,207.4136053,right,6.5,0,0,0.643257,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
132,0.5,7,207.7783445,208.2780444,208.2780444,208.2780444,208.5779555,left,-7,0,0,1.2915429,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
133,0.5,7.5,209.5959796,210.0944241,210.0944241,210.1112017,210.3947585,right,7.5,0,0,1.0094056,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
134,0.5,8,211.1291131,211.6288933,211.6288933,211.6288933,211.945146,right,8,0,0,1.1383999,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
135,0.5,8.5,212.7955879,213.2790912,213.2790912,213.2958162,213.5779737,right,8.5,0,0,0.7748894,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
136,0.5,9,214.0783866,214.5623994,214.5623994,214.5792925,214.8626519,left,-9,0,0,0.7297778,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
137,0.5,9.5,215.3127426,215.8125192,215.8125192,215.8125192,216.1121871,right,9.5,0,0,0.8454892,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
138,0.5,10,216.6775091,217.1625741,217.1625741,217.1795817,217.4628145,right,10,1,1,0.6563224,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
139,0.5,10,217.8442038,218.3278241,218.3278241,218.346065,218.6290339,left,-10,1,1,0.7448208,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
140,0.5,10,219.0958184,219.5957401,219.5957401,219.5957401,219.8957055,left,-10,1,1,0.6715875,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
141,0.5,9.5,220.2952646,220.7954737,220.7954737,220.7954737,221.09605,left,-9.5,1,1,0.7146704,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
142,0.5,9.5,221.5282209,222.0290026,222.0290026,222.0290026,222.3289432,right,9.5,1,1,0.8715355,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
143,0.5,9.5,222.9282235,223.4289716,223.4289716,223.4289716,223.7452451,left,-9.5,1,1,0.4768601,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
144,0.5,9,223.9286158,224.4279627,224.4279627,224.4279627,224.7300056,right,9,1,1,0.5030814,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
145,0.5,9,224.9621125,225.4451599,225.4451599,225.4622029,225.745271,right,9,1,1,0.6065591,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
146,0.5,9,226.0782381,226.5784606,226.5784606,226.5784606,226.8789186,left,-9,1,1,0.5019446,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
147,0.5,8.5,227.1121897,227.6121791,227.6121791,227.6121791,227.911875,right,8.5,1,1,0.4784321,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
148,0.5,8.5,228.111923,228.6120849,228.6120849,228.6120849,228.9266537,right,8.5,0,0,0.3249863,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
149,0.5,9,228.959823,229.4438258,229.4438258,229.4604973,229.7457511,right,9,0,0,1.0066582,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
150,0.5,9.5,230.4780092,230.9785346,230.9785346,230.9785346,231.2770869,left,-9.5,0,0,0.3948214,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
151,0.5,10,231.3947352,231.8950239,231.8950239,231.8950239,232.1945539,right,10,1,1,1.223716,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
152,0.5,10,233.1448387,233.6433951,233.6433951,233.6433951,233.9453403,left,-10,1,1,0.4615232,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
153,0.5,10,234.1276579,234.6286297,234.6286297,234.6286297,234.9282887,left,-10,1,1,0.829186,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
154,0.5,9.5,235.4763782,235.9615482,235.9615482,235.9778854,236.2615999,right,9.5,1,1,0.5978982,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
155,0.5,9.5,236.5775332,237.0796727,237.0796727,237.0796727,237.3779288,right,9.5,1,1,0.6004764,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
156,0.5,9.5,237.7114179,238.2121619,238.2121619,238.2121619,238.5122177,right,9.5,1,1,0.4808206,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
157,0.5,9,238.7110278,239.2119202,239.2119202,239.2119202,239.510802,right,9,0,0,0.6758346,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
158,0.5,9.5,239.9108154,240.4119188,240.4119188,240.4119188,240.7108352,left,-9.5,1,1,0.8049663,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
159,0.5,9.5,241.2445733,241.7449486,241.7449486,241.7449486,242.0615084,left,-9.5,0,0,0.4955668,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
160,0.5,10,242.258834,242.7432379,242.7432379,242.7607145,243.043776,right,10,1,1,0.7071414,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
161,0.5,10,243.4775281,243.977022,243.977022,243.977022,244.2776721,left,-10,1,1,0.5894693,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
162,0.5,10,244.593091,245.0948806,245.0948806,245.0948806,245.3941154,right,10,1,1,0.6595132,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
